14.2201,17.4548,70.3232,57.291
16.692,17.3377,59.909,57.6777
16.6447,17.0565,60.0792,58.6286
16.6739,17.7912,59.9741,56.2076
16.6504,17.0395,60.0585,58.6871
16.6829,17.1784,59.9417,58.2128
16.657,17.1168,60.0348,58.4221
16.6687,16.9725,59.9926,58.9189
16.6608,17.3063,60.0212,57.7825
16.668,17.0446,59.9953,58.6697
16.6471,17.1073,60.0703,58.4545
16.7046,17.3066,59.8639,57.7815
16.6549,17.2853,60.0423,57.8526
16.6579,17.8285,60.0315,56.0901
16.6838,17.407,59.9382,57.448
16.6412,17.3764,60.0917,57.5494
16.6723,17.7076,59.9797,56.4729
16.6686,17.064,59.9932,58.6031
16.6603,17.1299,60.0231,58.3775
16.6686,17.4513,59.9932,57.3022
16.6777,17.5257,59.9602,57.0592
16.661,17.4159,60.0202,57.4188
16.6586,16.9761,60.0292,58.9064
16.6654,16.9618,60.0045,58.956
16.6614,17.0884,60.019,58.5191
16.6758,17.1673,59.967,58.2503
16.6624,17.0097,60.0152,58.79
16.6708,16.9664,59.9852,58.9401
16.6595,16.9548,60.0258,58.9805
16.6683,16.9295,59.9942,59.0686
16.6669,16.9163,59.9991,59.1147
16.6696,17.1412,59.9894,58.339
16.6571,16.8712,60.0345,59.2726
16.6669,18.0997,59.9991,55.2495
16.6629,16.996,60.0136,58.8375
16.6686,16.911,59.9929,59.1331
16.6588,17.7927,60.0284,56.2028
16.6708,16.9547,59.9852,58.9806
16.6671,16.9189,59.9983,59.1054
16.6676,17.0013,59.9965,58.8189
16.6784,17.0506,59.9577,58.649
16.6494,17.0496,60.0624,58.6524
16.6679,16.9547,59.9955,58.9808
16.666,16.9758,60.0025,58.9073
16.667,16.9272,59.9989,59.0765
16.6708,16.8828,59.9851,59.232
16.6591,17.0076,60.0271,58.7972
16.6658,17.0705,60.0031,58.5807
16.6669,16.9159,59.9992,59.1161
16.6661,17.4925,60.0022,57.1675
16.6692,17.0384,59.9909,58.6909
16.6663,16.9023,60.0014,59.1634
16.6634,17.004,60.0119,58.8097
16.6614,17.1082,60.019,58.4515
16.6734,17.2034,59.9757,58.128
16.6609,17.1021,60.0209,58.4724
16.6664,17.1881,60.0008,58.1798
16.6596,17.1422,60.0256,58.3355
